EMPLOYEE_ID,FIRST_NAME,LAST_NAME,FULL_NAME,EMAIL,PHONE,DEPARTMENT,CITY
E0001,David,Verma,David Verma,david.verma1@company.com,9637637234,Finance,Chennai
E0002,Arun,Verma,Arun Verma,arun.verma2@company.com,9338898955,Marketing,Hyderabad
E0003,Ravi,Das,Ravi Das,ravi.das3@company.com,9962388353,Finance,Bengaluru
E0004,Priya,Roy,Priya Roy,priya.roy4@company.com,9184748096,Finance,Hyderabad
E0005,Deepa,Nair,Deepa Nair,deepa.nair5@company.com,9294138474,Operations,Mumbai
E0006,Meena,Miller,Meena Miller,meena.miller6@company.com,9284339916,Finance,Bengaluru
E0007,John,Verma,John Verma,john.verma7@company.com,9437977780,Finance,Chennai
E0008,John,Das,John Das,john.das8@company.com,9299675031,Finance,Mumbai
E0009,Nisha,Shah,Nisha Shah,nisha.shah9@company.com,9359201416,Operations,Chennai
E0010,Ajay,Joseph,Ajay Joseph,ajay.joseph10@company.com,9947783944,HR,Pune
E0011,Ravi,Singh,Ravi Singh,ravi.singh11@company.com,9793073200,IT,Pune
E0012,Ravi,Patel,Ravi Patel,ravi.patel12@corp.com,9761523329,Marketing,Bengaluru
E0013,Rahul,Joseph,Rahul Joseph,rahul.joseph13@company.com,9835753758,Operations,Bengaluru
E0014,John,Joseph,John Joseph,john.joseph14@company.com,9665673548,IT,Pune
E0015,Kiran,Lee,Kiran Lee,kiran.lee15@company.com,9611699777,Operations,Hyderabad
E0016,Anita,Miller,Anita Miller,anita.miller16@company.com,9320185995,Finance,Pune
E0017,Sne,Miller,Sne Miller,sneha.miller17@company.com,9603021159,,Chennai
E0018,Arun,Lee,Arun Lee,arun.lee18@company.com,9298870400,Finance,Delhi
E0019,Sneha,Lee,Sneha Lee,sneha.lee19@company.com,9707271217,Sales,Delhi
E0020,Deepa,Kumar,Deepa Kumar,deepa.kumar20@company.com,9394834035,IT,Pune
E0021,Arun,Gupta,Arun Gupta,arun.gupta21@company.com,9303296272,Marketing,Delhi
E0022,Arun,Smith,Arun Smith,arun.smith22@company.com,9488024792,Sales,Delhi
E0023,Rahul,Kumar,Rahul Kumar,rahul.kumar23@company.com,9963900541,Marketing,Mumbai
E0024,Vijay,Das,Vijay Das,vijay.das24@company.com,9882058400,Finance,Bengaluru
E0025,Rahul,Roy,Rahul Roy,rahul.roy25@company.com,9838045605,Sales,Mumbai
E0026,Deepa,Iyer,Deepa Iyer,deepa.iyer26@company.com,9811345307,Marketing,Pune
E0027,Deepa,Das,Deepa Das,deepa.das27@company.com,9682435562,Finance,Mumbai
E0028,Meena,Joseph,Meena Joseph,meena.joseph28@company.com,9823747785,Sales,Hyderabad
E0029,David,Roy,David Roy,david.roy29@company.com,9360837425,Operations,Delhi
E0030,Anita,Roy,Anita Roy,anita.roy30@company.com,9994819076,Finance,Delhi
E0031,Rav,Gupta,Rav Gupta,ravi.gupta31@company.com,9706471462,Marketing,Bengaluru
E0032,Kiran,Singh,Kiran Singh,kiran.singh32@company.com,9318507556,Marketing,Bengaluru
E0033,Nisha,Shah,Nisha Shah,nisha.shah33@company.com,9973679548,IT,Pune
E0034,Ajay,Miller,Ajay Miller,ajay.miller34@company.com,9167374745,HR,Bengaluru
E0035,Rahul,Miller,Rahul Miller,rahul.miller35@company.com,9166046125,Sales,Hyderabad
E0036,David,Singh,David Singh,david.singh36@company.com,9953016721,HR,Bengaluru
E0037,Sara,Nair,Sara Nair,sara.nair37@company.com,9979659605,HR,Delhi
E0038,Kiran,Verma,Kiran Verma,kiran.verma38@corp.com,9230084797,,Hyderabad
E0039,Nisha,Verma,Nisha Verma,nisha.verma39@company.com,9606429752,Operations,Mumbai
E0040,Ravi,Joseph,Ravi Joseph,ravi.joseph40@company.com,9260917367,HR,Delhi
E0041,Ajay,Iyer,Ajay Iyer,ajay.iyer41@company.com,9196703541,Operations,Delhi
E0042,Ajay,Rao,Ajay Rao,ajay.rao42@company.com,9483731128,Operations,Pune
E0043,Vijay,Joseph,Vijay Joseph,vijay.joseph43@company.com,9677679900,Finance,Bengaluru
E0044,David,Gupta,David Gupta,david.gupta44@company.com,9579037445,Operations,Pune
E0045,Arun,Gupta,Arun Gupta,arun.gupta45@company.com,9189532290,Marketing,Pune
E0046,Nisha,Kumar,Nisha Kumar,nisha.kumar46@company.com,9493276192,HR,Bengaluru
E0047,Ravi,Verma,Ravi Verma,ravi.verma47@company.com,9398913562,Sales,Delhi
E0048,Sara,Shah,Sara Shah,sara.shah48@company.com,9908508084,Marketing,Hyderabad
